sale_id,order_id,customer_id,product_id,product_name,category,quantity,unit_price,discount_percent,sales_amount,cost_amount,profit,payment_method,sales_channel,salesperson_id,city,state,region,order_date,event_type,event_description
S000021,ORD664590,C02999,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Store,SP095,Kozhikode,Kerala,South India,2021-01-01,None,None
S000022,ORD664601,C07779,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,UPI,Store,SP014,Gurugram,Haryana,North India,2021-01-01,None,None
S000023,ORD256591,C02178,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,Debit Card,Mobile App,Online,Hyderabad,Telangana,South India,2021-01-01,None,None
S000024,ORD756085,C03230,P009,Fusion Earbuds,Accessories,2,3000,0.0,6000.0,3000,3000.0,UPI,Website,Online,Chennai,Tamil Nadu,South India,2021-01-01,None,None
S000025,ORD694422,C03230,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,UPI,Store,SP001,Chennai,Tamil Nadu,South India,2021-01-01,None,None
S000026,ORD709080,C13966,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,Credit Card,Website,Online,Amritsar,Punjab,North India,2021-01-01,None,None
S000027,ORD171698,C12723,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,Credit Card,Mobile App,Online,Hyderabad,Telangana,South India,2021-01-01,None,None
S000028,ORD437751,C01272,P010,Fusion Charger,Accessories,41,1500,10.0,55350.0,20500,34850.0,Net Banking,Corporate Team,SP100,Ahmedabad,Gujarat,West India,2021-01-01,None,None
S000029,ORD106759,C03230,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,Credit Card,Website,Online,Chennai,Tamil Nadu,South India,2021-01-01,None,None
S000030,ORD153286,C00598,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,Cash,Website,Online,Udaipur,Rajasthan,West India,2021-01-01,None,None
S000031,ORD238914,C05998,P010,Fusion Charger,Accessories,2,1500,0.0,3000.0,1000,2000.0,Cash,Store,SP080,Mumbai,Maharashtra,West India,2021-01-01,None,None
S000032,ORD757456,C01272,P010,Fusion Charger,Accessories,46,1500,20.0,55200.0,23000,32200.0,Net Banking,Corporate Team,SP050,Ahmedabad,Gujarat,West India,2021-01-01,None,None
S000033,ORD136712,C02999,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Mobile App,Online,Kozhikode,Kerala,South India,2021-01-01,None,None
S000034,ORD312037,C05998,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Store,SP029,Mumbai,Maharashtra,West India,2021-01-01,None,None
S000035,ORD868652,C05998,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,Credit Card,Website,Online,Mumbai,Maharashtra,West India,2021-01-01,None,None
S000036,ORD201844,C01965,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,Debit Card,Store,SP014,Chandigarh,Punjab,North India,2021-01-01,None,None
S000037,ORD912455,C01965,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,Credit Card,Store,SP085,Chandigarh,Punjab,North India,2021-01-01,None,None
S000038,ORD971042,C07779,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Website,Online,Gurugram,Haryana,North India,2021-01-01,None,None
S000039,ORD787164,C00598,P009,Fusion Earbuds,Accessories,2,3000,0.0,6000.0,3000,3000.0,Credit Card,Store,SP076,Udaipur,Rajasthan,West India,2021-01-01,None,None
S000040,ORD268664,C13966,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,UPI,Website,Online,Amritsar,Punjab,North India,2021-01-01,None,None
S000041,ORD116775,C01272,P009,Fusion Earbuds,Accessories,45,3000,15.0,114750.0,67500,47250.0,Net Banking,Corporate Team,SP046,Ahmedabad,Gujarat,West India,2021-01-01,None,None
S000042,ORD267559,C01965,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,Credit Card,Mobile App,Online,Chandigarh,Punjab,North India,2021-01-01,None,None
S000043,ORD775878,C05998,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,Debit Card,Website,Online,Mumbai,Maharashtra,West India,2021-01-01,None,None
S000044,ORD974800,C01965,P010,Fusion Charger,Accessories,2,1500,0.0,3000.0,1000,2000.0,Credit Card,Website,Online,Chandigarh,Punjab,North India,2021-01-01,None,None
S000045,ORD590018,C07779,P009,Fusion Earbuds,Accessories,2,3000,0.0,6000.0,3000,3000.0,UPI,Mobile App,Online,Gurugram,Haryana,North India,2021-01-01,None,None
S000046,ORD463272,C01965,P009,Fusion Earbuds,Accessories,2,3000,0.0,6000.0,3000,3000.0,Debit Card,Website,Online,Chandigarh,Punjab,North India,2021-01-01,None,None
S000047,ORD562756,C01965,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Mobile App,Online,Chandigarh,Punjab,North India,2021-01-01,None,None
S000048,ORD576519,C02178,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Mobile App,Online,Hyderabad,Telangana,South India,2021-01-01,None,None
S000049,ORD297119,C05998,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,Credit Card,Website,Online,Mumbai,Maharashtra,West India,2021-01-01,None,None
S000050,ORD393015,C07779,P009,Fusion Earbuds,Accessories,2,3000,0.0,6000.0,3000,3000.0,UPI,Website,Online,Gurugram,Haryana,North India,2021-01-01,None,None
S000051,ORD375207,C01272,P010,Fusion Charger,Accessories,12,1500,20.0,14400.0,6000,8400.0,Net Banking,Corporate Team,SP027,Ahmedabad,Gujarat,West India,2021-01-01,None,None
S000052,ORD481540,C02999,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,Cash,Mobile App,Online,Kozhikode,Kerala,South India,2021-01-01,None,None
S000053,ORD903846,C12723,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,Credit Card,Store,SP003,Hyderabad,Telangana,South India,2021-01-01,None,None
S000054,ORD713593,C13966,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Mobile App,Online,Amritsar,Punjab,North India,2021-01-01,None,None
S000055,ORD898554,C02999,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,Credit Card,Store,SP024,Kozhikode,Kerala,South India,2021-01-01,None,None
S000056,ORD470161,C13966,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,UPI,Mobile App,Online,Amritsar,Punjab,North India,2021-01-01,None,None
S000057,ORD238712,C02178,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Website,Online,Hyderabad,Telangana,South India,2021-01-01,None,None
S000058,ORD773272,C12552,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,Credit Card,Website,Online,New Delhi,Delhi,North India,2021-01-02,None,None
S000059,ORD661142,C00598,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,Credit Card,Mobile App,Online,Udaipur,Rajasthan,West India,2021-01-02,None,None
S000060,ORD614869,C13966,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Mobile App,Online,Amritsar,Punjab,North India,2021-01-02,None,None
S000061,ORD194376,C09241,P010,Fusion Charger,Accessories,6,1500,0.0,9000.0,3000,6000.0,Net Banking,Corporate Team,SP012,Chennai,Tamil Nadu,South India,2021-01-02,None,None
S000062,ORD295637,C07779,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,UPI,Store,SP011,Gurugram,Haryana,North India,2021-01-02,None,None
S000063,ORD679692,C02203,P010,Fusion Charger,Accessories,2,1500,0.0,3000.0,1000,2000.0,Debit Card,Website,Online,Gaya,Bihar,East India,2021-01-02,None,None
S000064,ORD305896,C09241,P010,Fusion Charger,Accessories,9,1500,0.0,13500.0,4500,9000.0,Net Banking,Corporate Team,SP081,Chennai,Tamil Nadu,South India,2021-01-02,None,None
S000065,ORD441963,C04674,P010,Fusion Charger,Accessories,23,1500,15.0,29325.0,11500,17825.0,Net Banking,Corporate Team,SP094,Hyderabad,Telangana,South India,2021-01-02,None,None
S000066,ORD301159,C00598,P009,Fusion Earbuds,Accessories,2,3000,0.0,6000.0,3000,3000.0,Credit Card,Mobile App,Online,Udaipur,Rajasthan,West India,2021-01-02,None,None
S000067,ORD564942,C10176,P009,Fusion Earbuds,Accessories,19,3000,10.0,51300.0,28500,22800.0,Net Banking,Corporate Team,SP043,New Delhi,Delhi,North India,2021-01-02,None,None
S000068,ORD624191,C14262,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,Credit Card,Mobile App,Online,Vijayawada,Andhra Pradesh,South India,2021-01-02,None,None
S000069,ORD346506,C01272,P010,Fusion Charger,Accessories,14,1500,10.0,18900.0,7000,11900.0,Net Banking,Corporate Team,SP054,Ahmedabad,Gujarat,West India,2021-01-02,None,None
S000070,ORD179222,C02203,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,Credit Card,Website,Online,Gaya,Bihar,East India,2021-01-02,None,None
S000071,ORD892293,C12552,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,Credit Card,Mobile App,Online,New Delhi,Delhi,North India,2021-01-02,None,None
S000072,ORD582458,C02999,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,UPI,Website,Online,Kozhikode,Kerala,South India,2021-01-02,None,None
S000073,ORD511449,C12637,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,UPI,Website,Online,Chandigarh,Punjab,North India,2021-01-02,None,None
S000074,ORD911771,C01272,P010,Fusion Charger,Accessories,43,1500,15.0,54825.0,21500,33325.0,Net Banking,Corporate Team,SP091,Ahmedabad,Gujarat,West India,2021-01-02,None,None
S000075,ORD657898,C14890,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Store,SP093,Ahmedabad,Gujarat,West India,2021-01-02,None,None
S000076,ORD887990,C02178,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,Debit Card,Mobile App,Online,Hyderabad,Telangana,South India,2021-01-02,None,None
S000077,ORD762160,C13966,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,UPI,Mobile App,Online,Amritsar,Punjab,North India,2021-01-02,None,None
S000078,ORD515080,C04674,P010,Fusion Charger,Accessories,25,1500,10.0,33750.0,12500,21250.0,Net Banking,Corporate Team,SP099,Hyderabad,Telangana,South India,2021-01-02,None,None
S000079,ORD562325,C00598,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Website,Online,Udaipur,Rajasthan,West India,2021-01-02,None,None
S000080,ORD796504,C10176,P009,Fusion Earbuds,Accessories,49,3000,20.0,117600.0,73500,44100.0,Net Banking,Corporate Team,SP005,New Delhi,Delhi,North India,2021-01-02,None,None
S000081,ORD796235,C01965,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,Debit Card,Website,Online,Chandigarh,Punjab,North India,2021-01-02,None,None
S000082,ORD999877,C14890,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,UPI,Website,Online,Ahmedabad,Gujarat,West India,2021-01-02,None,None
S000083,ORD757138,C09241,P010,Fusion Charger,Accessories,24,1500,15.0,30600.0,12000,18600.0,Net Banking,Corporate Team,SP039,Chennai,Tamil Nadu,South India,2021-01-02,None,None
S000084,ORD931415,C02203,P010,Fusion Charger,Accessories,3,1500,0.0,4500.0,1500,3000.0,UPI,Mobile App,Online,Gaya,Bihar,East India,2021-01-02,None,None
S000085,ORD956191,C01272,P010,Fusion Charger,Accessories,15,1500,20.0,18000.0,7500,10500.0,Net Banking,Corporate Team,SP081,Ahmedabad,Gujarat,West India,2021-01-02,None,None
S000086,ORD794675,C12637,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,Credit Card,Store,SP078,Chandigarh,Punjab,North India,2021-01-02,None,None
S000087,ORD404042,C00598,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,Debit Card,Website,Online,Udaipur,Rajasthan,West India,2021-01-02,None,None
S000088,ORD394217,C09241,P009,Fusion Earbuds,Accessories,13,3000,20.0,31200.0,19500,11700.0,Net Banking,Corporate Team,SP068,Chennai,Tamil Nadu,South India,2021-01-02,None,None
S000089,ORD509868,C02203,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,UPI,Store,SP042,Gaya,Bihar,East India,2021-01-02,None,None
S000090,ORD920298,C13966,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,Debit Card,Mobile App,Online,Amritsar,Punjab,North India,2021-01-02,None,None
S000091,ORD187018,C01965,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,Credit Card,Store,SP071,Chandigarh,Punjab,North India,2021-01-02,None,None
S000092,ORD518745,C14890,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,UPI,Mobile App,Online,Ahmedabad,Gujarat,West India,2021-01-02,None,None
S000093,ORD951441,C12637,P010,Fusion Charger,Accessories,2,1500,0.0,3000.0,1000,2000.0,UPI,Website,Online,Chandigarh,Punjab,North India,2021-01-02,None,None
S000094,ORD944728,C02203,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,Credit Card,Website,Online,Gaya,Bihar,East India,2021-01-02,None,None
S000095,ORD907497,C00598,P010,Fusion Charger,Accessories,2,1500,0.0,3000.0,1000,2000.0,Credit Card,Store,SP036,Udaipur,Rajasthan,West India,2021-01-02,None,None
S000096,ORD901954,C14890,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,Credit Card,Store,SP089,Ahmedabad,Gujarat,West India,2021-01-02,None,None
S000097,ORD250924,C00598,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Website,Online,Udaipur,Rajasthan,West India,2021-01-02,None,None
S000098,ORD801265,C10176,P010,Fusion Charger,Accessories,8,1500,0.0,12000.0,4000,8000.0,Net Banking,Corporate Team,SP087,New Delhi,Delhi,North India,2021-01-02,None,None
S000099,ORD149782,C05998,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,UPI,Store,SP061,Mumbai,Maharashtra,West India,2021-01-02,None,None
S000100,ORD792859,C02999,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Website,Online,Kozhikode,Kerala,South India,2021-01-02,None,None
S000101,ORD620504,C07779,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,Credit Card,Store,SP096,Gurugram,Haryana,North India,2021-01-02,None,None
S000102,ORD439569,C02203,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,Credit Card,Website,Online,Gaya,Bihar,East India,2021-01-02,None,None
S000103,ORD709825,C10176,P010,Fusion Charger,Accessories,33,1500,20.0,39600.0,16500,23100.0,Net Banking,Corporate Team,SP028,New Delhi,Delhi,North India,2021-01-02,None,None
S000104,ORD431832,C00598,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,Debit Card,Store,SP005,Udaipur,Rajasthan,West India,2021-01-02,None,None
S000105,ORD932602,C13966,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Store,SP073,Amritsar,Punjab,North India,2021-01-02,None,None
S000106,ORD969896,C01272,P010,Fusion Charger,Accessories,22,1500,20.0,26400.0,11000,15400.0,Net Banking,Corporate Team,SP072,Ahmedabad,Gujarat,West India,2021-01-02,None,None
S000107,ORD241750,C05998,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,Debit Card,Store,SP006,Mumbai,Maharashtra,West India,2021-01-02,None,None
S000108,ORD686562,C13966,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,Credit Card,Store,SP023,Amritsar,Punjab,North India,2021-01-02,None,None
S000109,ORD784190,C02999,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,UPI,Website,Online,Kozhikode,Kerala,South India,2021-01-02,None,None
S000110,ORD837005,C07779,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,UPI,Website,Online,Gurugram,Haryana,North India,2021-01-02,None,None
S000111,ORD376938,C09241,P009,Fusion Earbuds,Accessories,21,3000,20.0,50400.0,31500,18900.0,Net Banking,Corporate Team,SP030,Chennai,Tamil Nadu,South India,2021-01-02,None,None
S000112,ORD574334,C01965,P009,Fusion Earbuds,Accessories,2,3000,0.0,6000.0,3000,3000.0,Debit Card,Website,Online,Chandigarh,Punjab,North India,2021-01-02,None,None
S000113,ORD461497,C07779,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,UPI,Mobile App,Online,Gurugram,Haryana,North India,2021-01-02,None,None
S000114,ORD474928,C14262,P010,Fusion Charger,Accessories,3,1500,0.0,4500.0,1500,3000.0,UPI,Store,SP088,Vijayawada,Andhra Pradesh,South India,2021-01-02,None,None
S000115,ORD444967,C12723,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Website,Online,Hyderabad,Telangana,South India,2021-01-02,None,None
S000116,ORD618886,C12723,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,UPI,Store,SP010,Hyderabad,Telangana,South India,2021-01-02,None,None
S000117,ORD711265,C12552,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Mobile App,Online,New Delhi,Delhi,North India,2021-01-02,None,None
S000118,ORD814736,C05998,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,UPI,Mobile App,Online,Mumbai,Maharashtra,West India,2021-01-02,None,None
S000119,ORD839536,C03230,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,Credit Card,Mobile App,Online,Chennai,Tamil Nadu,South India,2021-01-02,None,None
S000120,ORD291357,C14262,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Website,Online,Vijayawada,Andhra Pradesh,South India,2021-01-02,None,None
S000121,ORD876992,C09241,P009,Fusion Earbuds,Accessories,19,3000,10.0,51300.0,28500,22800.0,Net Banking,Corporate Team,SP021,Chennai,Tamil Nadu,South India,2021-01-02,None,None
S000122,ORD999083,C04674,P009,Fusion Earbuds,Accessories,32,3000,10.0,86400.0,48000,38400.0,Net Banking,Corporate Team,SP087,Hyderabad,Telangana,South India,2021-01-03,None,None
S000123,ORD392430,C02965,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,Credit Card,Website,Online,Thiruvananthapuram,Kerala,South India,2021-01-03,None,None
S000124,ORD190840,C14262,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,Credit Card,Mobile App,Online,Vijayawada,Andhra Pradesh,South India,2021-01-03,None,None
S000125,ORD299935,C02965,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,Debit Card,Website,Online,Thiruvananthapuram,Kerala,South India,2021-01-03,None,None
S000126,ORD407581,C12723,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Mobile App,Online,Hyderabad,Telangana,South India,2021-01-03,None,None
S000127,ORD406463,C03542,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Mobile App,Online,Chandigarh,Punjab,North India,2021-01-03,None,None
S000128,ORD296679,C00598,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Store,SP030,Udaipur,Rajasthan,West India,2021-01-03,None,None
S000129,ORD495987,C05935,P010,Fusion Charger,Accessories,2,1500,0.0,3000.0,1000,2000.0,UPI,Store,SP079,Visakhapatnam,Andhra Pradesh,South India,2021-01-03,None,None
S000130,ORD307476,C10009,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Website,Online,Kochi,Kerala,South India,2021-01-03,None,None
S000131,ORD207328,C09241,P010,Fusion Charger,Accessories,5,1500,0.0,7500.0,2500,5000.0,Net Banking,Corporate Team,SP087,Chennai,Tamil Nadu,South India,2021-01-03,None,None
S000132,ORD574508,C02965,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Mobile App,Online,Thiruvananthapuram,Kerala,South India,2021-01-03,None,None
S000133,ORD646780,C00598,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,Debit Card,Website,Online,Udaipur,Rajasthan,West India,2021-01-03,None,None
S000134,ORD936421,C05935,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,Debit Card,Mobile App,Online,Visakhapatnam,Andhra Pradesh,South India,2021-01-03,None,None
S000135,ORD388425,C14262,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,Credit Card,Website,Online,Vijayawada,Andhra Pradesh,South India,2021-01-03,None,None
S000136,ORD147530,C02965,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Store,SP043,Thiruvananthapuram,Kerala,South India,2021-01-03,None,None
S000137,ORD576727,C05998,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Website,Online,Mumbai,Maharashtra,West India,2021-01-03,None,None
S000138,ORD424349,C07779,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,Cash,Store,SP069,Gurugram,Haryana,North India,2021-01-03,None,None
S000139,ORD366097,C00598,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,Debit Card,Website,Online,Udaipur,Rajasthan,West India,2021-01-03,None,None
S000140,ORD105073,C13966,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Website,Online,Amritsar,Punjab,North India,2021-01-03,None,None
S000141,ORD346275,C02999,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Store,SP008,Kozhikode,Kerala,South India,2021-01-03,None,None
S000142,ORD852067,C05557,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Store,SP097,Jodhpur,Rajasthan,West India,2021-01-03,None,None
S000143,ORD763654,C01272,P009,Fusion Earbuds,Accessories,10,3000,0.0,30000.0,15000,15000.0,Net Banking,Corporate Team,SP063,Ahmedabad,Gujarat,West India,2021-01-03,None,None
S000144,ORD530420,C06243,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,Debit Card,Website,Online,Pune,Maharashtra,West India,2021-01-03,None,None
S000145,ORD362686,C03542,P009,Fusion Earbuds,Accessories,3,3000,0.0,9000.0,4500,4500.0,Cash,Website,Online,Chandigarh,Punjab,North India,2021-01-03,None,None
S000146,ORD725963,C10176,P009,Fusion Earbuds,Accessories,27,3000,10.0,72900.0,40500,32400.0,Net Banking,Corporate Team,SP033,New Delhi,Delhi,North India,2021-01-03,None,None
S000147,ORD109389,C04674,P010,Fusion Charger,Accessories,16,1500,15.0,20400.0,8000,12400.0,Net Banking,Corporate Team,SP065,Hyderabad,Telangana,South India,2021-01-03,None,None
S000148,ORD515082,C14262,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Store,SP039,Vijayawada,Andhra Pradesh,South India,2021-01-03,None,None
S000149,ORD767713,C06243,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Mobile App,Online,Pune,Maharashtra,West India,2021-01-03,None,None
