order_date,product_name,category,region,quantity,month,day,dayofweek,quarter,prev_demand,Predicted_Demand
2021-02-02,Fusion Earbuds,Accessories,South India,33,2,2,1,1,6.0,8.170677
2021-03-11,Fusion Earbuds,Accessories,South India,4,3,11,3,1,5.0,10.328163
2021-06-25,Fusion Earbuds,Accessories,South India,1,6,25,4,2,9.0,6.5052657
2021-08-07,Fusion Earbuds,Accessories,South India,5,8,7,5,3,1.0,5.694027
2021-09-18,Fusion Earbuds,Accessories,South India,2,9,18,5,3,2.0,6.7215223
2021-11-03,Fusion Earbuds,Accessories,South India,46,11,3,2,4,27.0,6.7215223
2021-12-25,Fusion Earbuds,Accessories,South India,5,12,25,5,4,5.0,12.187304
2022-02-21,Fusion Earbuds,Accessories,South India,3,2,21,0,1,1.0,11.161317
2022-04-11,Fusion Earbuds,Accessories,South India,1,4,11,0,2,3.0,3.8966863
2022-05-26,Fusion Earbuds,Accessories,South India,2,5,26,3,2,5.0,7.22271
2022-07-13,Fusion Earbuds,Accessories,South India,2,7,13,2,3,1.0,7.918306
2022-09-09,Fusion Earbuds,Accessories,South India,3,9,9,4,3,2.0,6.9754333
2022-10-18,Fusion Earbuds,Accessories,South India,101,10,18,1,4,12.0,5.630577
2022-12-02,Fusion Earbuds,Accessories,South India,2,12,2,4,4,3.0,10.390986
2023-01-13,Fusion Earbuds,Accessories,South India,1,1,13,4,1,1.0,8.964294
2023-04-20,Fusion Earbuds,Accessories,South India,2,4,20,3,2,1.0,6.5605955
2023-06-01,Fusion Earbuds,Accessories,South India,1,6,1,3,2,4.0,8.308041
2023-07-01,Fusion Earbuds,Accessories,South India,11,7,1,5,3,2.0,9.948029
2023-08-11,Fusion Earbuds,Accessories,South India,6,8,11,4,3,1.0,7.4504313
2023-10-01,Fusion Earbuds,Accessories,South India,2,10,1,6,4,3.0,8.5783205
2023-11-12,Fusion Earbuds,Accessories,South India,7,11,12,6,4,51.0,9.469686
2023-12-18,Fusion Earbuds,Accessories,South India,65,12,18,0,4,2.0,6.519186
2024-01-27,Fusion Earbuds,Accessories,South India,3,1,27,5,1,4.0,6.7384343
2024-03-12,Fusion Earbuds,Accessories,South India,4,3,12,1,1,6.0,7.750251
2024-04-15,Fusion Earbuds,Accessories,South India,1,4,15,0,2,4.0,7.8685417
2024-06-03,Fusion Earbuds,Accessories,South India,21,6,3,0,2,5.0,8.695651
2024-07-16,Fusion Earbuds,Accessories,South India,49,7,16,1,3,1.0,9.239415
2024-10-14,Fusion Earbuds,Accessories,South India,1,10,14,0,4,3.0,7.3982573
2024-11-14,Fusion Earbuds,Accessories,South India,1,11,14,3,4,3.0,8.055768
2024-12-18,Fusion Earbuds,Accessories,South India,50,12,18,2,4,21.0,8.279406
2021-01-20,Fusion Earbuds,Accessories,West India,32,1,20,2,1,6.0,6.596385
2021-02-25,Fusion Earbuds,Accessories,West India,58,2,25,3,1,2.0,6.7676444
2021-03-30,Fusion Earbuds,Accessories,West India,5,3,30,1,1,1.0,7.0960784
2021-05-07,Fusion Earbuds,Accessories,West India,2,5,7,4,2,1.0,8.111127
2021-06-20,Fusion Earbuds,Accessories,West India,3,6,20,6,2,4.0,7.186387
2021-08-03,Fusion Earbuds,Accessories,West India,1,8,3,1,3,1.0,6.5995665
2021-09-15,Fusion Earbuds,Accessories,West India,1,9,15,2,3,3.0,7.4860344
2021-10-18,Fusion Earbuds,Accessories,West India,2,10,18,0,4,1.0,6.8202515
2021-11-18,Fusion Earbuds,Accessories,West India,2,11,18,3,4,21.0,8.968469
2022-01-02,Fusion Earbuds,Accessories,West India,2,1,2,6,1,51.0,9.858719
2022-04-18,Fusion Earbuds,Accessories,West India,2,4,18,0,2,4.0,5.409699
2022-09-10,Fusion Earbuds,Accessories,West India,4,9,10,5,3,1.0,6.234078
2022-11-28,Fusion Earbuds,Accessories,West India,3,11,28,0,4,2.0,8.073435
2023-01-16,Fusion Earbuds,Accessories,West India,1,1,16,0,1,4.0,8.941436
2023-04-06,Fusion Earbuds,Accessories,West India,2,4,6,3,2,1.0,12.448571
2023-06-03,Fusion Earbuds,Accessories,West India,2,6,3,5,2,2.0,8.14773
2023-09-17,Fusion Earbuds,Accessories,West India,4,9,17,6,3,4.0,7.4516273
2023-10-27,Fusion Earbuds,Accessories,West India,1,10,27,4,4,1.0,9.007872
2023-12-10,Fusion Earbuds,Accessories,West India,1,12,10,6,4,2.0,10.241544
2024-01-27,Fusion Earbuds,Accessories,West India,5,1,27,5,1,2.0,7.5502243
2024-03-10,Fusion Earbuds,Accessories,West India,2,3,10,6,1,3.0,7.942517
2024-04-26,Fusion Earbuds,Accessories,West India,1,4,26,4,2,1.0,5.508245
2024-08-29,Fusion Earbuds,Accessories,West India,1,8,29,3,3,2.0,5.523622
2024-10-22,Fusion Earbuds,Accessories,West India,63,10,22,1,4,5.0,6.864535
2024-12-29,Fusion Earbuds,Accessories,West India,1,12,29,6,4,1.0,9.403988
2021-07-17,Fusion Keyboard,Accessories,Central India,1,7,17,5,3,1.0,7.1099486
2021-12-15,Fusion Keyboard,Accessories,Central India,1,12,15,2,4,2.0,7.1099486
2022-04-23,Fusion Keyboard,Accessories,Central India,2,4,23,5,2,2.0,7.601188
2022-10-05,Fusion Keyboard,Accessories,Central India,1,10,5,2,4,1.0,6.588709
2023-02-12,Fusion Keyboard,Accessories,Central India,4,2,12,6,1,1.0,7.3727827
2023-09-22,Fusion Keyboard,Accessories,Central India,1,9,22,4,3,1.0,13.559961
2024-02-04,Fusion Keyboard,Accessories,Central India,1,2,4,6,1,1.0,9.657899
2024-08-18,Fusion Keyboard,Accessories,Central India,1,8,18,6,3,1.0,6.923527
2021-05-14,Fusion Keyboard,Accessories,East India,1,5,14,4,2,24.0,6.587054
2021-08-10,Fusion Keyboard,Accessories,East India,7,8,10,1,3,2.0,8.033169
2021-11-09,Fusion Keyboard,Accessories,East India,3,11,9,1,4,2.0,7.802282
2022-02-10,Fusion Keyboard,Accessories,East India,1,2,10,3,1,1.0,15.405008
2023-01-27,Fusion Keyboard,Accessories,East India,2,1,27,4,1,2.0,7.7748847
2023-09-26,Fusion Keyboard,Accessories,East India,1,9,26,1,3,1.0,8.839839
2023-12-05,Fusion Keyboard,Accessories,East India,1,12,5,1,4,1.0,12.861061
2024-03-16,Fusion Keyboard,Accessories,East India,2,3,16,5,1,2.0,11.663122
2024-07-11,Fusion Keyboard,Accessories,East India,1,7,11,3,3,1.0,7.325842
2024-09-30,Fusion Keyboard,Accessories,East India,1,9,30,0,3,1.0,6.954814
2024-11-09,Fusion Keyboard,Accessories,East India,3,11,9,5,4,1.0,8.032369
2021-04-14,Fusion Keyboard,Accessories,North India,21,4,14,2,2,7.0,10.49964
2021-05-13,Fusion Keyboard,Accessories,North India,3,5,13,3,2,1.0,7.7362924
2021-06-20,Fusion Keyboard,Accessories,North India,1,6,20,6,2,2.0,6.784669
2021-07-30,Fusion Keyboard,Accessories,North India,3,7,30,4,3,42.0,6.71127
2021-09-04,Fusion Keyboard,Accessories,North India,21,9,4,5,3,1.0,7.016645
2022-02-21,Fusion Keyboard,Accessories,North India,1,2,21,0,1,1.0,6.9027615
2022-04-18,Fusion Keyboard,Accessories,North India,27,4,18,0,2,5.0,9.0416975
2022-06-15,Fusion Keyboard,Accessories,North India,2,6,15,2,2,1.0,11.701184
2022-07-28,Fusion Keyboard,Accessories,North India,2,7,28,3,3,1.0,7.1713953
2022-09-16,Fusion Keyboard,Accessories,North India,4,9,16,4,3,2.0,10.242296
2022-10-28,Fusion Keyboard,Accessories,North India,2,10,28,4,4,3.0,7.1566725
2022-12-02,Fusion Keyboard,Accessories,North India,3,12,2,4,4,4.0,5.811816
2023-01-21,Fusion Keyboard,Accessories,North India,44,1,21,5,1,1.0,7.4875603
2023-03-24,Fusion Keyboard,Accessories,North India,26,3,24,4,1,1.0,13.874769
2023-06-19,Fusion Keyboard,Accessories,North India,2,6,19,0,2,3.0,11.075212
2023-08-20,Fusion Keyboard,Accessories,North India,35,8,20,6,3,30.0,8.628142
2023-12-02,Fusion Keyboard,Accessories,North India,3,12,2,5,4,5.0,6.977419
2024-03-26,Fusion Keyboard,Accessories,North India,51,3,26,1,1,1.0,7.176182
2024-05-19,Fusion Keyboard,Accessories,North India,1,5,19,6,2,1.0,7.743721
2024-08-06,Fusion Keyboard,Accessories,North India,1,8,6,1,3,1.0,8.661283
2024-09-26,Fusion Keyboard,Accessories,North India,1,9,26,3,3,2.0,8.181474
2024-11-14,Fusion Keyboard,Accessories,North India,39,11,14,3,4,2.0,7.609025
2021-04-10,Fusion Keyboard,Accessories,South India,72,4,10,5,2,0.0,7.694105
2021-05-25,Fusion Keyboard,Accessories,South India,3,5,25,1,2,38.0,6.9100313
2021-07-22,Fusion Keyboard,Accessories,South India,2,7,22,3,3,1.0,7.694105
2021-09-26,Fusion Keyboard,Accessories,South India,3,9,26,6,3,46.0,7.9649744
2021-11-21,Fusion Keyboard,Accessories,South India,48,11,21,6,4,56.0,9.198647
2022-01-09,Fusion Keyboard,Accessories,South India,1,1,9,6,1,11.0,7.788989
2022-02-17,Fusion Keyboard,Accessories,South India,1,2,17,3,1,1.0,7.21654
2022-03-29,Fusion Keyboard,Accessories,South India,2,3,29,1,1,1.0,6.094671
2022-05-05,Fusion Keyboard,Accessories,South India,5,5,5,3,2,47.0,5.9387884
2022-06-21,Fusion Keyboard,Accessories,South India,1,6,21,1,2,2.0,7.5769777
2022-08-05,Fusion Keyboard,Accessories,South India,2,8,5,4,3,2.0,7.7001853
2022-09-29,Fusion Keyboard,Accessories,South India,3,9,29,3,3,1.0,8.85844
2022-11-02,Fusion Keyboard,Accessories,South India,1,11,2,2,4,47.0,7.453831
2023-01-16,Fusion Keyboard,Accessories,South India,3,1,16,0,1,3.0,6.792904
2023-02-22,Fusion Keyboard,Accessories,South India,4,2,22,2,1,3.0,7.8053837
2023-04-18,Fusion Keyboard,Accessories,South India,41,4,18,1,2,4.0,7.046815
2023-06-10,Fusion Keyboard,Accessories,South India,4,6,10,5,2,1.0,8.576036
2023-08-19,Fusion Keyboard,Accessories,South India,4,8,19,5,3,3.0,6.9177938
2023-09-30,Fusion Keyboard,Accessories,South India,1,9,30,5,3,1.0,10.0098095
2023-11-10,Fusion Keyboard,Accessories,South India,53,11,10,4,4,6.0,8.134971
2023-12-06,Fusion Keyboard,Accessories,South India,3,12,6,2,4,3.0,5.1263065
2024-01-27,Fusion Keyboard,Accessories,South India,4,1,27,5,1,6.0,6.4383163
2024-03-15,Fusion Keyboard,Accessories,South India,2,3,15,4,1,3.0,6.1133566
2024-04-23,Fusion Keyboard,Accessories,South India,6,4,23,1,2,2.0,6.740284
2024-06-21,Fusion Keyboard,Accessories,South India,2,6,21,4,2,1.0,6.231999
2024-08-11,Fusion Keyboard,Accessories,South India,3,8,11,6,3,28.0,5.9449477
2024-10-01,Fusion Keyboard,Accessories,South India,1,10,1,1,4,2.0,5.862705
2024-11-08,Fusion Keyboard,Accessories,South India,3,11,8,4,4,1.0,6.08822
2024-12-18,Fusion Keyboard,Accessories,South India,1,12,18,2,4,30.0,5.505096
2021-05-03,Fusion Keyboard,Accessories,West India,1,5,3,0,2,1.0,5.505096
2021-06-23,Fusion Keyboard,Accessories,West India,1,6,23,2,2,1.0,7.004931
2021-08-20,Fusion Keyboard,Accessories,West India,2,8,20,4,3,1.0,6.4206448
2021-10-03,Fusion Keyboard,Accessories,West India,3,10,3,6,4,2.0,5.969249
2021-11-13,Fusion Keyboard,Accessories,West India,3,11,13,5,4,1.0,5.5305505
2022-02-10,Fusion Keyboard,Accessories,West India,1,2,10,3,1,2.0,5.3884835
2022-04-13,Fusion Keyboard,Accessories,West India,2,4,13,2,2,3.0,5.7323613
2022-06-20,Fusion Keyboard,Accessories,West India,2,6,20,0,2,4.0,7.6354427
2022-09-19,Fusion Keyboard,Accessories,West India,27,9,19,0,3,2.0,5.628611
2022-10-30,Fusion Keyboard,Accessories,West India,2,10,30,6,4,2.0,6.6345897
2022-12-29,Fusion Keyboard,Accessories,West India,3,12,29,3,4,4.0,-2.817358
2023-03-17,Fusion Keyboard,Accessories,West India,3,3,17,4,1,1.0,5.6297836
2023-05-29,Fusion Keyboard,Accessories,West India,1,5,29,0,2,17.0,8.353168
2023-08-03,Fusion Keyboard,Accessories,West India,1,8,3,3,3,1.0,6.757736
2023-10-13,Fusion Keyboard,Accessories,West India,7,10,13,4,4,3.0,8.496466
2023-12-30,Fusion Keyboard,Accessories,West India,27,12,30,5,4,1.0,8.2853565
2024-02-24,Fusion Keyboard,Accessories,West India,1,2,24,5,1,1.0,6.6840177
2024-04-19,Fusion Keyboard,Accessories,West India,11,4,19,4,2,2.0,5.0987167
2024-06-20,Fusion Keyboard,Accessories,West India,1,6,20,3,2,1.0,6.5970984
2024-08-11,Fusion Keyboard,Accessories,West India,1,8,11,6,3,2.0,7.4491663
2024-10-11,Fusion Keyboard,Accessories,West India,4,10,11,4,4,1.0,5.835952
2024-12-13,Fusion Keyboard,Accessories,West India,1,12,13,4,4,1.0,10.367025
2021-08-18,Fusion Mouse,Accessories,Central India,27,8,18,2,3,1.0,6.4351735
2021-11-19,Fusion Mouse,Accessories,Central India,1,11,19,4,4,1.0,5.011184
2022-06-14,Fusion Mouse,Accessories,Central India,3,6,14,1,2,1.0,4.6326227
2022-11-21,Fusion Mouse,Accessories,Central India,2,11,21,0,4,1.0,5.584227
2023-08-06,Fusion Mouse,Accessories,Central India,1,8,6,6,3,1.0,5.0733943
2024-01-20,Fusion Mouse,Accessories,Central India,1,1,20,5,1,1.0,5.0733943
2024-08-11,Fusion Mouse,Accessories,Central India,2,8,11,6,3,1.0,8.040689
2021-05-02,Fusion Mouse,Accessories,East India,1,5,2,6,2,1.0,9.586554
2021-10-13,Fusion Mouse,Accessories,East India,3,10,13,2,4,1.0,5.9320617
2022-01-02,Fusion Mouse,Accessories,East India,2,1,2,6,1,1.0,5.408611
2022-04-20,Fusion Mouse,Accessories,East India,46,4,20,2,2,2.0,8.031652
2022-08-31,Fusion Mouse,Accessories,East India,1,8,31,2,3,1.0,5.8401904
2023-03-01,Fusion Mouse,Accessories,East India,1,3,1,2,1,2.0,6.5810814
2023-06-11,Fusion Mouse,Accessories,East India,1,6,11,6,2,3.0,5.9163957
2024-02-09,Fusion Mouse,Accessories,East India,4,2,9,4,1,1.0,5.3990326
2024-04-26,Fusion Mouse,Accessories,East India,1,4,26,4,2,2.0,5.3990326
2024-09-21,Fusion Mouse,Accessories,East India,1,9,21,5,3,1.0,8.992246
2024-11-23,Fusion Mouse,Accessories,East India,3,11,23,5,4,165.0,7.174872
2021-08-17,Fusion Mouse,Accessories,North India,1,8,17,1,3,1.0,4.8220415
2021-11-08,Fusion Mouse,Accessories,North India,3,11,8,0,4,25.0,7.6159325
2022-02-20,Fusion Mouse,Accessories,North India,12,2,20,6,1,23.0,5.044616
2022-04-07,Fusion Mouse,Accessories,North India,1,4,7,3,2,6.0,4.6735883
2022-05-20,Fusion Mouse,Accessories,North India,7,5,20,4,2,1.0,6.119444
2022-08-27,Fusion Mouse,Accessories,North India,2,8,27,5,3,3.0,4.7609944
2022-10-17,Fusion Mouse,Accessories,North India,9,10,17,0,4,65.0,6.403016
2022-11-27,Fusion Mouse,Accessories,North India,15,11,27,6,4,1.0,10.395428
2023-01-08,Fusion Mouse,Accessories,North India,3,1,8,6,1,2.0,5.7667637
2023-02-25,Fusion Mouse,Accessories,North India,23,2,25,5,1,122.0,5.7111316
2023-04-05,Fusion Mouse,Accessories,North India,3,4,5,2,2,1.0,5.1174526
2023-05-19,Fusion Mouse,Accessories,North India,24,5,19,4,2,3.0,5.7046742
2023-10-18,Fusion Mouse,Accessories,North India,1,10,18,2,4,2.0,6.1924515
2023-12-10,Fusion Mouse,Accessories,North India,2,12,10,6,4,2.0,6.0743065
2024-02-03,Fusion Mouse,Accessories,North India,3,2,3,5,1,1.0,5.7223444
2024-04-02,Fusion Mouse,Accessories,North India,1,4,2,1,2,6.0,4.980923
2024-05-18,Fusion Mouse,Accessories,North India,2,5,18,5,2,3.0,5.3641114
2024-07-04,Fusion Mouse,Accessories,North India,1,7,4,3,3,1.0,5.020234
2024-09-06,Fusion Mouse,Accessories,North India,1,9,6,4,3,2.0,8.958457
2024-10-27,Fusion Mouse,Accessories,North India,57,10,27,6,4,2.0,7.606456
2024-12-02,Fusion Mouse,Accessories,North India,1,12,2,0,4,1.0,5.6437335
2021-04-27,Fusion Mouse,Accessories,South India,3,4,27,1,2,1.0,5.931459
2021-06-07,Fusion Mouse,Accessories,South India,2,6,7,0,2,7.0,7.140934
2021-07-17,Fusion Mouse,Accessories,South India,3,7,17,5,3,2.0,6.0137434
2021-08-24,Fusion Mouse,Accessories,South India,2,8,24,1,3,3.0,5.5384264
2021-10-04,Fusion Mouse,Accessories,South India,3,10,4,0,4,2.0,7.45477
2022-01-18,Fusion Mouse,Accessories,South India,3,1,18,1,1,4.0,5.501311
2022-03-16,Fusion Mouse,Accessories,South India,1,3,16,2,1,4.0,6.8161635
2022-05-06,Fusion Mouse,Accessories,South India,5,5,6,4,2,5.0,7.3391037
2022-06-17,Fusion Mouse,Accessories,South India,13,6,17,4,2,2.0,6.574079
2022-07-31,Fusion Mouse,Accessories,South India,3,7,31,6,3,2.0,6.4044476
2022-10-01,Fusion Mouse,Accessories,South India,7,10,1,5,4,1.0,5.8201613
2022-11-03,Fusion Mouse,Accessories,South India,1,11,3,3,4,1.0,5.572559
2022-12-02,Fusion Mouse,Accessories,South India,2,12,2,4,4,42.0,4.723134
2023-02-15,Fusion Mouse,Accessories,South India,3,2,15,2,1,2.0,5.9171877
2023-03-24,Fusion Mouse,Accessories,South India,1,3,24,4,1,3.0,5.414416
2023-06-30,Fusion Mouse,Accessories,South India,2,6,30,4,2,1.0,7.5689735
2023-08-28,Fusion Mouse,Accessories,South India,1,8,28,0,3,5.0,5.970417
2023-10-08,Fusion Mouse,Accessories,South India,46,10,8,6,4,46.0,10.453986
2023-11-20,Fusion Mouse,Accessories,South India,2,11,20,0,4,2.0,5.7164454
2023-12-27,Fusion Mouse,Accessories,South India,1,12,27,2,4,1.0,5.7403793
2024-02-05,Fusion Mouse,Accessories,South India,1,2,5,0,1,5.0,4.7491627
2024-03-21,Fusion Mouse,Accessories,South India,2,3,21,3,1,1.0,5.9456964
2024-05-10,Fusion Mouse,Accessories,South India,3,5,10,4,2,1.0,5.773365
2024-07-02,Fusion Mouse,Accessories,South India,1,7,2,1,3,3.0,5.864488
2024-08-14,Fusion Mouse,Accessories,South India,6,8,14,2,3,40.0,7.7245345
2024-09-13,Fusion Mouse,Accessories,South India,13,9,13,4,3,1.0,6.2073483
2024-11-24,Fusion Mouse,Accessories,South India,27,11,24,6,4,88.0,6.231282
2021-04-24,Fusion Mouse,Accessories,West India,1,4,24,5,2,2.0,8.649811
2021-06-06,Fusion Mouse,Accessories,West India,35,6,6,6,2,4.0,8.381551
2021-07-15,Fusion Mouse,Accessories,West India,4,7,15,3,3,43.0,6.615377
2021-09-10,Fusion Mouse,Accessories,West India,1,9,10,4,3,3.0,7.0415406
2021-10-23,Fusion Mouse,Accessories,West India,3,10,23,5,4,71.0,5.1550403
2021-11-26,Fusion Mouse,Accessories,West India,3,11,26,4,4,2.0,6.5459623
2022-01-16,Fusion Mouse,Accessories,West India,3,1,16,6,1,2.0,7.983782
2022-03-25,Fusion Mouse,Accessories,West India,17,3,25,4,1,3.0,11.3538475
2022-06-19,Fusion Mouse,Accessories,West India,3,6,19,6,2,2.0,10.378091
2022-08-22,Fusion Mouse,Accessories,West India,5,8,22,0,3,1.0,7.4485245
2022-10-18,Fusion Mouse,Accessories,West India,4,10,18,1,4,5.0,8.479727
2022-12-02,Fusion Mouse,Accessories,West India,1,12,2,4,4,2.0,7.2407274
2023-04-16,Fusion Mouse,Accessories,West India,5,4,16,6,2,2.0,9.350495
2023-06-29,Fusion Mouse,Accessories,West India,2,6,29,3,2,1.0,9.112412
2023-09-12,Fusion Mouse,Accessories,West India,2,9,12,1,3,2.0,10.176012
2023-11-03,Fusion Mouse,Accessories,West India,3,11,3,4,4,3.0,15.44819
2024-01-03,Fusion Mouse,Accessories,West India,46,1,3,2,1,1.0,8.572089
2024-03-13,Fusion Mouse,Accessories,West India,3,3,13,2,1,1.0,9.250097
2024-05-04,Fusion Mouse,Accessories,West India,1,5,4,5,2,1.0,9.20963
2024-07-10,Fusion Mouse,Accessories,West India,1,7,10,2,3,40.0,10.690738
2024-10-17,Fusion Mouse,Accessories,West India,1,10,17,3,4,48.0,12.9219265
2022-04-12,Fusion Watch Lite,Wearables,Central India,1,4,12,1,2,1.0,15.831945
2021-12-26,Fusion Watch Lite,Wearables,East India,1,12,26,6,4,1.0,17.204834
2023-06-02,Fusion Watch Lite,Wearables,East India,1,6,2,4,2,109.0,17.065151
2021-11-18,Fusion Watch Lite,Wearables,North India,1,11,18,3,4,1.0,16.497805
2022-06-19,Fusion Watch Lite,Wearables,North India,29,6,19,6,2,1.0,20.471384
2023-04-27,Fusion Watch Lite,Wearables,North India,2,4,27,3,2,1.0,16.947163
2024-05-25,Fusion Watch Lite,Wearables,North India,1,5,25,5,2,2.0,21.377714
2021-10-24,Fusion Watch Lite,Wearables,South India,3,10,24,6,4,1.0,20.348484
2022-05-15,Fusion Watch Lite,Wearables,South India,3,5,15,6,2,1.0,20.022755
2022-11-18,Fusion Watch Lite,Wearables,South India,1,11,18,4,4,1.0,17.098541
2023-08-06,Fusion Watch Lite,Wearables,South India,1,8,6,6,3,1.0,22.602312
2023-12-15,Fusion Watch Lite,Wearables,South India,1,12,15,4,4,2.0,47.90339
2024-06-07,Fusion Watch Lite,Wearables,South India,1,6,7,4,2,1.0,9.4540825
2024-11-05,Fusion Watch Lite,Wearables,South India,1,11,5,1,4,1.0,20.48371
2022-01-31,Fusion Watch Lite,Wearables,West India,1,1,31,0,1,1.0,9.505884
2022-07-17,Fusion Watch Lite,Wearables,West India,1,7,17,6,3,1.0,12.849629
2022-12-28,Fusion Watch Lite,Wearables,West India,1,12,28,2,4,1.0,10.501874
2023-06-06,Fusion Watch Lite,Wearables,West India,1,6,6,1,2,1.0,10.662313
2023-11-25,Fusion Watch Lite,Wearables,West India,1,11,25,5,4,1.0,8.550063
2024-05-23,Fusion Watch Lite,Wearables,West India,1,5,23,3,2,1.0,14.485161
2022-05-05,Fusion Watch Pro,Wearables,Central India,1,5,5,3,2,1.0,19.55208
2022-04-19,Fusion Watch Pro,Wearables,East India,1,4,19,1,2,1.0,9.985174
2023-09-09,Fusion Watch Pro,Wearables,East India,1,9,9,5,3,1.0,9.553589
2024-11-14,Fusion Watch Pro,Wearables,East India,1,11,14,3,4,2.0,9.182559
2022-07-01,Fusion Watch Pro,Wearables,North India,1,7,1,4,3,1.0,10.108271
2023-01-03,Fusion Watch Pro,Wearables,North India,1,1,3,1,1,1.0,9.166484
2023-05-21,Fusion Watch Pro,Wearables,North India,1,5,21,6,2,1.0,9.254456
2023-11-15,Fusion Watch Pro,Wearables,North India,2,11,15,2,4,14.0,12.013117
2024-05-11,Fusion Watch Pro,Wearables,North India,88,5,11,5,2,1.0,16.65243
2024-10-12,Fusion Watch Pro,Wearables,North India,1,10,12,5,4,1.0,9.884954
2022-04-15,Fusion Watch Pro,Wearables,South India,2,4,15,4,2,1.0,19.869825
2022-06-02,Fusion Watch Pro,Wearables,South India,1,6,2,3,2,3.0,7.419855
2022-10-30,Fusion Watch Pro,Wearables,South India,1,10,30,6,4,1.0,6.3221855
2023-04-04,Fusion Watch Pro,Wearables,South India,1,4,4,1,2,1.0,7.913342
2023-08-22,Fusion Watch Pro,Wearables,South India,1,8,22,1,3,1.0,13.6809845
2024-03-08,Fusion Watch Pro,Wearables,South India,1,3,8,4,1,1.0,9.979135
2024-07-17,Fusion Watch Pro,Wearables,South India,2,7,17,2,3,1.0,9.271803
2024-11-20,Fusion Watch Pro,Wearables,South India,2,11,20,2,4,1.0,7.7162986
2022-10-28,Fusion Watch Pro,Wearables,West India,18,10,28,4,4,1.0,7.7660437
2023-05-21,Fusion Watch Pro,Wearables,West India,21,5,21,6,2,1.0,7.9671645
2023-11-18,Fusion Watch Pro,Wearables,West India,1,11,18,5,4,2.0,8.714559
2024-06-25,Fusion Watch Pro,Wearables,West India,47,6,25,1,2,1.0,10.407898
2021-02-05,FusionBook Air,Laptops,Central India,11,2,5,4,1,1.0,8.116435
2021-04-25,FusionBook Air,Laptops,Central India,137,4,25,6,2,136.0,8.292894
2021-08-26,FusionBook Air,Laptops,Central India,1,8,26,3,3,94.0,9.438298
2022-04-15,FusionBook Air,Laptops,Central India,1,4,15,4,2,17.0,7.6414433
2022-08-21,FusionBook Air,Laptops,Central India,33,8,21,6,3,1.0,7.3640447
